文献号	是否转让	说明书页数	附图个数	文献引证数	专利引证数	引证本国专利数	引证外国专利数	专利类别	保护期	分类数	IPC大类数	IPC小类数	同族专利数	同族布局国家（地区）数	是否为PCT国际专利申请	是否为五国专利/四方专利	专利国别代码	申请日公开日时间间隔（年）	申请日授权日时间间隔	公开日授权日时间间隔	剩余有效期	是否有优先权	权项数	发明人数	申请人数	专利权人规模	申请人类型
CN201720970556.2	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.185185185	0	0	1
CN201720960682.X	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.032786885	0.111111111	0	0	1
CN201720970108.2	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.148148148	0	0	1
CN201720970117.1	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.036885246	0.148148148	0	0	1
CN201721187237.0	0	0.01147541	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.037037037	0	0	1
CN201721187236.6	0	0.01147541	0.043010753	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.037037037	0	0	1
CN201721032663.7	0	0.004918033	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.008196721	0.074074074	0	0	1
CN201721099843.7	0	0.014754098	0.053763441	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.148148148	0	0	1
CN201721032665.6	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.008196721	0.111111111	0	0	1
CN201721032664.1	0	0.004918033	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.004098361	0.111111111	0	0	1
CN201721032666.0	0	0.004918033	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.004098361	0.074074074	0	0	1
CN201721033444.0	0	0.004918033	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.004098361	0.111111111	0	0	1
CN201720914312.2	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.2	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0	1
CN201721155539.X	0	0.014754098	0.053763441	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.259259259	0	0	1
CN201720916245.8	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201720913245.2	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0	0	0	1
CN201721113253.5	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.037037037	0	0	1
CN201721234268.7	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	1
CN201721235241.X	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201720521344.6	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.037037037	0	0	1
CN201721151400.8	0	0.013114754	0.053763441	0	0	0	0	0.5	0	0.266666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.259259259	0	0	1
CN201720960665.6	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.111111111	0	0	1
CN201720960692.3	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.036885246	0.111111111	0	0	1
CN201720960675.X	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.032786885	0.111111111	0	0	1
CN201720960683.4	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.032786885	0.111111111	0	0	1
CN201721166996.9	0	0.016393443	0.096774194	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.074074074	0	0	1
CN201721154771.1	0	0.013114754	0.075268817	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.008196721	0.259259259	0	0	1
CN201721155376.5	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.259259259	0	0	1
CN201720960685.3	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.036885246	0.111111111	0	0	1
CN201720960684.9	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.032786885	0.111111111	0	0	1
CN201720976231.5	0	0.013114754	0.053763441	0	0	0	0	0.5	0	0.266666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0	0	0	1
CN201720111405.1	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.148148148	0	0	1
CN201720111658.9	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201721145562.0	0	0.01147541	0.043010753	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0	1
CN201720923755.8	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.074074074	0	0	1
CN201720961952.9	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0.333333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.037037037	0	0	1
CN201720648178.6	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.074074074	0	0	1
CN201720647739.0	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.074074074	0	0	1
CN201720651837.1	0	0.01147541	0.053763441	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.074074074	0	0	1
CN201720859311.2	0	0.014754098	0.043010753	0	0	0	0	0.5	0	0.066666667	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0.037037037	0	0	1
CN201720853501.3	0	0.013114754	0.043010753	0	0	0	0	0.5	0	0.2	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0	0	0	1
CN201720651767.X	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.266666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.074074074	0	0	1
CN201720647737.1	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.333333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.074074074	0	0	1
CN201720648160.6	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0.074074074	0	0	1
CN201720647756.4	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.074074074	0	0	1
CN201720521249.6	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.037037037	0	0	1
CN201720648176.7	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.074074074	0	0	1
CN201720520566.6	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.037037037	0	0	1
CN201720520555.8	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.032786885	0.037037037	0	0	1
CN201710638592.3	0	0.016393443	0.075268817	0	0.25	0.333333333	0	1	1	0.066666667	0	0	0	0	0	0	0	0	0.083333333	0.2	1	0	0.040983607	0.037037037	0	0	0.6
CN201630486580.X	0	0.01147541	0.086021505	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0	0.333333333	0.333333333	0.333333333	1
CN201580007653.5	0	0.349180328	0.032258065	0	0.166666667	0	0.166666667	1	1	0.2	0.2	0.4	0.171875	0.214285714	0	0	1	0.222222222	0.25	0.2	0.857142857	1	0.180327869	0.037037037	0	0	1
CN201580025038.7	0	0.02295082	0.107526882	0	0.5	0.222222222	0.333333333	1	1	0.2	0.2	0.4	0.09375	0.119047619	0	0	1	0.222222222	0.25	0.2	0.857142857	1	0.028688525	0	0	0	1
CN201710357637.X	0	0.018032787	0	0.375	0.25	0.222222222	0.083333333	1	1	0.866666667	0	0.2	0.015625	0.023809524	0	0	0	0	0.083333333	0.2	1	1	0.028688525	0.037037037	0	0	1
CN201620940094.5	0	0.031147541	0.161290323	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0.111111111	0	0	1
CN201621375958.X	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0.074074074	0	0	1
CN201620935597.3	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.028688525	0.037037037	0	0	1
CN201621027990.9	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.040983607	0.296296296	0	0	1
CN201621028169.9	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.028688525	0.296296296	0	0	1
CN201620606345.6	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0	0	0	1
CN201620605680.4	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620610098.7	0	0.01147541	0.053763441	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0	0	0	1
CN201620652566.7	0	0.006557377	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0.148148148	0	0	1
CN201620858936.2	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0.2	0.4	0.4	0	0	0	0	0	0	0	0	0.214285714	0	0.016393443	0.074074074	0	0	1
CN201620735925.5	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.024590164	0	0	0	0.8
CN201620944205.X	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.016393443	0	0	0	1
CN201620977975.4	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.004098361	0.185185185	0	0	1
CN201620942469.1	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0	0	0	0.214285714	0	0.020491803	0	0	0	1
CN201620943728.2	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.040983607	0	0	0	1
CN201620944236.5	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0.266666667	0	0	0	0	0	0	0	0	0	0	0.214285714	0	0.028688525	0	0	0	1
CN201620605138.9	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620607648.X	0	0.01147541	0.053763441	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620605724.3	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620607727.0	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620605159.0	0	0.013114754	0.043010753	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620606395.4	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0	0	0	1
CN201620605676.8	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620610085.X	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620606342.2	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.024590164	0	0	0	1
CN201620607615.5	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620605697.X	0	0.013114754	0.053763441	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620610038.5	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201620605169.4	0	0.01147541	0.032258065	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0	0	0	1
CN201620569379.2	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0.111111111	0	0	1
CN201620569164.0	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.012295082	0.111111111	0	0	1
CN201620577885.6	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.012295082	0.037037037	0	0	1
CN201620566663.4	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.012295082	0.037037037	0	0	1
CN201620569355.7	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0.074074074	0	0	1
CN201620572102.5	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0.111111111	0	0	1
CN201720559592.X	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201720350549.2	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.037037037	0	0	0.6
CN201720577884.6	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201720417808.9	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0	0	0	1
CN201720456931.1	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0	1
CN201720462667.2	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.133333333	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0	0	0	1
CN201720559441.4	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0	0	0	1
CN201720587819.1	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0	1
CN201720553501.1	0	0.01147541	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0.185185185	0	0	1
CN201720489210.0	0	0.01147541	0.043010753	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.111111111	0	0	0.8
CN201621121874.3	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.004098361	0	0	0	1
CN201720219477.8	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.111111111	0	0	1
CN201720523763.3	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.037037037	0	0	0.8
CN201720276941.7	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201620517014.5	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0.037037037	0	0	1
CN201720432838.7	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0.111111111	0	0	1
CN201720438929.1	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	0.8
CN201720410814.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.148148148	0	0	0.8
CN201720283025.6	0	0.014754098	0.064516129	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.004098361	0.148148148	0	0	1
CN201720356040.9	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0.2	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	0.8
CN201720161107.3	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0.074074074	0	0	1
CN201720111761.3	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	1
CN201720190752.8	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.074074074	0	0	1
CN201720111362.7	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201621340904.X	0	0.008196721	0.043010753	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0.074074074	0	0	1
CN201720111340.0	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201720111373.5	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	1
CN201720185310.4	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.036885246	0.074074074	0	0	1
CN201720209487.3	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.407407407	0	0	0.8
CN201720111657.4	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.074074074	0	0	1
CN201710923540.0	0	0.021311475	0	0	0.25	0.222222222	0.083333333	1	1	0.066666667	0	0	0	0	0	0	0	0	0.083333333	0	1	0	0.040983607	0	0	0	0.6
CN201610952306.6	0	0.014754098	0.021505376	0	0.083333333	0	0.083333333	1	1	0	0	0	0	0	0	0	0	0	0.083333333	0.2	0.928571429	0	0.016393443	0.111111111	0	0	1
CN201621253889.5	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.004098361	0.148148148	0	0	1
CN201720103665.4	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0	0	0	1
CN201621485777.2	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0.518518519	0	0	1
CN201720100241.2	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	1
CN201720103639.1	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.036885246	0	0	0	1
CN201720100214.5	0	0.013114754	0.053763441	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0	0	0	1
CN201720103564.7	0	0.016393443	0.075268817	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0	0	0	1
CN201621485527.9	0	0.008196721	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.016393443	0.481481481	0	0	1
CN201620516586.1	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.008196721	0.037037037	0	0	1
CN201621485528.3	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.012295082	0.518518519	0	0	1
CN201720137189.8	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.222222222	0	0	1
CN201720111731.2	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.074074074	0.666666667	0.666666667	0.6
CN201720084810.9	0	0.004918033	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.004098361	0.111111111	0	0	1
CN201720047976.3	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	1
CN201621445299.2	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.028688525	0.111111111	0	0	1
CN201720111401.3	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201720024079.0	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.266666667	0.4	0.4	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201621409898.9	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.2	0.4	0.4	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201621410659.5	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.024590164	0	0	0	1
CN201621409200.3	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.333333333	0.4	0.4	0	0	0	0	0	0.111111111	0.083333333	0	0.214285714	0	0.020491803	0	0	0	1
CN201720113581.9	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.8
CN201720088870.8	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201720048136.9	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0	1
CN201720047958.5	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.012295082	0	0	0	1
